cluster_name,DC Name,Cluster Region (Prod/Non Prod),Cluster Type,Active,reporting_date,no_of_hosts,core_per_host,ram_per_host, vcpu_allocated,vram_allocated,Atlanta UCS Cluster 1,Atlanta,NonProd,Vmware,TRUE,9/28/2020,3,24,384,102,279
,,,,,,,,,,,West Chester UCS Cluster 1,West Chester,NonProd,Vmware,True,9/28/2020,3.0,24.0,384.0,178.0,419.0
,,,,,,,,,,,Braintree UCS Cluster 1,BrainTree,NonProd,Vmware,True,9/28/2020,3.0,24.0,384.0,90.0,264.0
,,,,,,,,,,,STR NonBillable Cluster,STR,Prod,Vmware,True,9/28/2020,4.0,36.0,1535.0,413.0,1124.0
,,,,,,,,,,,STR NON-PROD LINUX,STR,NonProd,Vmware,True,9/28/2020,3.0,36.0,1535.0,642.0,2272.0
,,,,,,,,,,,Chandler UCS Cluster 1,MPL,NonProd,Vmware,True,9/28/2020,3.0,24.0,384.0,44.0,120.0
,,,,,,,,,,,SHK DENSE LINUX CLUSTER,SHK,Prod,Vmware,True,9/28/2020,5.0,72.0,3071.0,986.0,4119.0
,,,,,,,,,,,STR NON-PROD WINDOWS,STR,NonProd,Vmware,True,9/28/2020,3.0,36.0,1535.0,426.0,1256.0
,,,,,,,,,,,STR NON-PROD JBOSS,STR,NonProd,Vmware,True,9/28/2020,3.0,36.0,1535.0,346.0,532.0
,,,,,,,,,,,STR DENSE LINUX CLUSTER,STR,Prod,Vmware,True,9/28/2020,5.0,72.0,3071.0,232.0,744.0
,,,,,,,,,,,SHK pcf AZ1,SHK,Prod,Vmware,True,9/28/2020,3.0,36.0,1535.0,0.0,0.0
,,,,,,,,,,,SHK pcf2 AZ2,SHK,Prod,Vmware,True,9/28/2020,2.0,36.0,1535.0,0.0,0.0
