Timestamp,Amount spent by,For,Mode of transaction,Home Expenses,Further details if any,Amount
4-26-2022 21:53:55,LKS,Home,Cash,Repair works,Mixie repair,70
4-26-2022 21:57:13,LKS,Others,Online/Digital,Helmet for srikumar,,1825
4-26-2022 21:57:36,LKS,Home,Online/Digital,Fruits and Vegitables,,430
4-26-2022 21:58:27,LKS,Others,Cash,Medical,Srikumar toe surgery procedure,3000
4-26-2022 21:59:48,LKS,Others,Online/Digital,Medical,Srikumar Toe procedure,662
4-26-2022 22:02:18,LKS,Home,Online/Digital,Fruits and Vegitables,Mango point,928
4-26-2022 22:03:43,MAS,Personal,Cash,Snacks and eatables,,140
4-27-2022 12:32:36,MKA,Others,Online/Digital,Medical,reflexology - foot massage for 4 people,2000
4-27-2022 12:34:31,MKA,Card payments,Online/Digital,HDFC card,,499
4-27-2022 12:46:36,MKA,Personal,Cash,Fruits and Vegitables,tender coconut,50
4-27-2022 22:06:27,MKA,Home,Cash,Medical,Appa amma doctor visit,1000
4-27-2022 22:07:09,LKS,Home,Cash,Kitchen stands and scissor,,150
4-27-2022 22:08:07,LKS,Home,Online/Digital,Medical,Adithya medicine,617
4-27-2022 22:09:26,LKS,Home,Online/Digital,Snacks and eatables,Sivapriya meeting,550
4-28-2022 22:09:26,LKS,Home,Cash,Flower,,100
4-28-2022 22:09:26,LKS,Home,Cash,Fuel,Activa,300
4-28-2022 22:09:26,LKS,Home,Cash,Fruits and Vegitables,,280
4-29-2022 22:09:26,LKS,Personal,Cash,Parlour,,50
4-29-2022 22:09:26,LKS,Home,Cash,Fruits and Vegitables,,30
4-29-2022 22:09:26,LKS,Home,Cash,medical,,120
4-29-2022 22:09:26,LKS,Home,Cash,Others,Water bottles,100
4-29-2022 22:09:26,MAS,Home,Cash,Snacks and eatables,Ice cream,120
4-30-2022 22:09:26,MAS,Personal,Online/Digital,Snacks and eatables,Pizza,650
5-2-2022 21:51:59,LKS,Home,Cash,General Provisions,tamarind,650
5-2-2022 21:52:25,LKS,Home,Cash,Water,,1340
5-2-2022 21:52:47,LKS,Home,Cash,Milk,,360
5-2-2022 21:53:17,MAS,Home,Cash,General Provisions,,120
5-2-2022 21:53:41,MAS,Home,Cash,Fruits and Vegitables,,580
5-2-2022 21:53:41,MAA,Others,Online/Digital,Fuel,Bike,905
5-4-2022 21:54:33,LKS,Home,Cash,General Provisions,,150
5-4-2022 21:55:16,LKS,Home,Cash,Fruits and Vegitables,,300
5-4-2022 21:57:24,LKS,Home,Cash,Fruits and Vegitables,,320
5-4-2022 22:01:45,LKS,Home,Cash,Servant salary,,1300
5-4-2022 22:01:45,LKS,Home,Cash,Milk,,360
5-4-2022 22:03:01,LKS,Home,Cash,Coffeepowder,,615
5-5-2022 21:16:53,LKS,Home,Cash,Servant salary,,1500
5-5-2022 21:18:05,LKS,Home,Online/Digital,General Provisions,Backiyam and Chennai organics,8391
5-5-2022 21:18:49,LKS,Home,Online/Digital,Snacks and eatables,Loiee snacks,520
5-6-2022 13:39:24,MKA,Other,Cash,Travel,Kanha Bhandara visit exp,3700
5-6-2022 13:39:24,MKA,Other,Online/Digital,Travel,Kanha Bhandara visit exp,365
5-6-2022 13:39:24,MKA,Other,Online/Digital,Donation,Milap for Mr Gulab,5100
5-6-2022 13:40:12,LKS,Other,Cash,Travel,kanha bhandara visit - medicinal items purchased,450
5-6-2022 13:40:48,LKS,Home,Cash,Repair works,Electricity fuse carrier repair,60
5-6-2022 13:41:21,MAA,Home,Online/Digital,Repair works,Fan & fuse carrier,600
5-6-2022 19:31:06,LKS,Home,Cash,Fruits and Vegitables,,175
5-27-2022 17:34:48,LKS,Home,Cash,General Provisions,,250
5-27-2022 17:35:56,LKS,Home,Cash,Fruits and Vegitables,,950
5-27-2022 17:36:38,LKS,Home,Cash,Flower,,550
5-27-2022 17:38:49,LKS,Home,Cash,Coffeepowder,,625
5-27-2022 17:44:20,LKS,Home,Cash,Servant salary,advance,1000
5-27-2022 17:52:43,LKS,Home,Cash,Gift,RR construction daughter marriage,500
5-27-2022 17:56:42,LKS,Home,Cash,Ironing,,430
5-27-2022 17:59:32,MKA,Home,Cash,Medical,AG hospital,200
5-27-2022 18:11:43,MAS,Home,Cash,Medical,stomach issue,300
5-27-2022 18:12:16,LKS,Others,Cash,sahaj bhavan valuation report for sbi loan processing,,4000
